,artist_id,artist_name,album_id,album_name,album_release_date,album_total_tracks,track_id,track_name,duration_ms,explicit,added_at
801,0A7d0PJxaLO7CGI94ht6PX,Crystal Lake,4aXfpdhbOeiZr38kLAIBc3,WATCH ME BURN,2020-07-08,2,2UGQck8e9vIooMcYqMlH2o,DISOBEY,192698,False,2021-07-22T15:04:38Z
802,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,0HdiTgG4G5TYhz14IkGa0p,The way of all flesh,1023973,False,2021-07-22T14:34:32Z
803,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,368sgQMnEzwo5mpShvPFJm,Wolf down the earth,385706,False,2021-07-22T14:34:29Z
804,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,16yvB7exWWUBkZ9fFkLVMI,Vacuity,291626,False,2021-07-22T14:34:27Z
805,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,7bUcTW0mHg4Ec0kgdXemEG,Esoteric surgery,344746,False,2021-07-22T14:34:24Z
806,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,7iMQChXFK33TS49QWhE4tt,The art of dying,594213,False,2021-07-22T14:34:21Z
807,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,3l5h9gjuQDSC6CI0N6Fr0v,Adoration for none,379800,False,2021-07-22T14:34:19Z
808,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,5teKBipvWxQLE4p2pbDnfg,All the tears,221186,False,2021-07-22T14:34:17Z
809,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,60wIvuNq3tkIZIkXxWuzn5,The silver cord,151880,False,2021-07-22T14:34:14Z
810,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,67dGM4VgqZwmWUKGAVYO5o,Yama's messengers,243946,False,2021-07-22T14:34:10Z
811,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,2fA5O6Fs60rtXxIfelVKcH,A sight to behold,309533,False,2021-07-22T14:34:08Z
812,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,5e0OSsSpWpQ2kS7Z9CGLDu,Toxic garbage island,246680,False,2021-07-22T14:34:04Z
813,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,4J79cxsmRqZbI0BKmNFDy2,The way of all flesh,2008-10-13,12,6WUNfk8ULz9ZdmC9f315Qp,Oroborus,321786,False,2021-07-22T14:34:00Z
814,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,0EDk9FulhYuWOANSW7wvLT,Grind,334091,False,2021-07-22T14:33:52Z
815,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,3w3Niv9YyqdPAdFsnu3Hj8,The Trails,247286,False,2021-07-22T14:33:49Z
816,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,6TCxtJhcwImUhRzdPXRURA,Into The Storm,302293,False,2021-07-22T14:33:46Z
817,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,6PhrbFbRW3Cchrv6klsLF5,Sphinx,240358,False,2021-07-22T14:33:44Z
818,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,41DA32rbYp3PoLCAJeup0J,The Chant,312751,False,2021-07-22T14:33:42Z
819,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,7kZkDEYLQ7eBgiPlzhBtGI,Fortitude,127578,False,2021-07-22T14:33:39Z
820,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,3Kl4f3sVKb8iwQ8ZffHim6,New Found,396634,False,2021-07-22T14:33:36Z
821,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,6wmt81xEPYc6UkXI2PEstE,Hold On,330188,False,2021-07-22T14:33:33Z
822,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,7cRGgrQ9eg8V8A4FsSj020,Another World,264947,False,2021-07-22T14:33:31Z
823,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,1GWtUkDQk7XC35r7kTPfqx,Amazonia,300783,False,2021-07-22T14:33:27Z
824,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,3bmdzJRZ4DLRTiA6yBBQcI,Fortitude,2021-04-30,11,61GkJ0y15jxDyBrdcb6PqR,Born For One Thing,260741,False,2021-07-22T14:33:25Z
825,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,3Tgo5Ucay80sGvph0uedTS,Liberation,215373,False,2021-07-22T14:33:15Z
826,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,6nJgZy8CATEMz9PNRAJGDt,Low Lands,363573,False,2021-07-22T14:33:12Z
827,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,7MuPOXU2vjEe3Kh9LfbM5v,Only Pain,239960,False,2021-07-22T14:33:10Z
828,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,4XPrEwXIu8UhlggytlSqPr,Pray,313866,False,2021-07-22T14:33:07Z
829,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,56iv5TqfvxVa4zLMs6SvmP,Magma,402493,False,2021-07-22T14:33:04Z
830,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,52HGJjorrIfVRaIueVOdIk,Yellow Stone,79440,False,2021-07-22T14:33:01Z
831,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,7nCD5l7GrFyt6o1mstCUFr,The Cell,197906,False,2021-07-22T14:32:57Z
832,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,5uunXHE4kIW6uS4HWAXaOQ,Silvera,212653,False,2021-07-22T14:32:52Z
833,0GDGKpJFhVpcjIGF8N6Ewt,Gojira,7D7V6M05UIOTjLdqbwRX0w,Magma,2016-06-17,10,6HQfFAupOMsmfWV4CbG1Kj,The Shooting Star,342346,False,2021-07-22T14:32:49Z
834,0qT79UgT5tY4yudH9VfsdT,Sum 41,2UCWsnmZEVg9HhnMeKTsim,"All Killer, No Filler",2001-01-01,13,4KacUpvbA3Mfo05gttTjhN,Fat Lip,178266,True,2021-07-21T14:06:01Z
835,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,4Io5vWtmV1rFj4yirKb4y4,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,25,59WN2psjkt1tyaxjspN8fp,Killing In The Name,313573,True,2021-07-21T13:54:21Z
836,2o18h28enlHxj887tATc58,HammerFall,7nTDtVSBkJH9y7k2bSOedJ,Steel Meets Steel - 10 Years Of Glory,2007-10-23,29,7o61vcVwbnSTRkFAs9O9Hw,Hearts On Fire,231444,False,2021-07-20T07:28:35Z
837,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,5JKFiC2WVi9HtvJEm8CUB8,Appetite For Destruction,1987-07-21,12,5NIPsWpDjJTFBoPxCUUeXp,Welcome To The Jungle,273600,False,2021-07-16T07:59:29Z
838,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,6pL7kL9cOc0DpWCq6qJtxQ,Dr. Feelgood,1989,16,7GonnnalI2s19OCQO1J7Tf,Kickstart My Heart,282653,False,2021-07-16T05:45:12Z
839,0cfSfyq03Uj5lVX9jcJw1m,David Hasselhoff,2Tk9GSLX9W8gzUTW6XSAHQ,"True Survivor (From ""Kung Fury"")",2015-04-16,1,3fnUvzulzK4SZGl5o1hgqx,"True Survivor - From ""Kung Fury""",220177,False,2021-07-16T05:30:57Z
840,6IRouO5mvvfcyxtPDKMYFN,Foreigner,1OU7zJvUfgxxPHgkTClt1M,Foreigner (Expanded),1977-03-08,14,7vidktgNZFQylTgH1GEnMs,Cold as Ice,200213,False,2021-07-16T05:24:01Z
841,0rvjqX7ttXeg3mTy8Xscbt,Journey,43wpzak9OmQfrjyksuGwp0,Escape (Bonus Track Version),1981,14,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',250986,False,2021-07-16T05:17:19Z
842,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,5LMGAYhn2ywaxGZdtmXGpw,Eliminator,1983-03-23,11,1UBQ5GK8JaQjm5VbkBZY66,Sharp Dressed Man - 2008 Remaster,258026,False,2021-07-16T05:12:02Z
